rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
122,USDC / 2026-07-30,Exactly,Op Mainnet,$1.58m,1580000,3.88,3.88,3.33,,,3.88,,3.33,1400000,35303,1360000,,
123,USDC / 2026-08-27,Exactly,Op Mainnet,$1.58m,1580000,3.88,3.88,3.71,,,3.88,,3.71,1380000,21461,1360000,,
124,BBQUSDT0,Morpho Blue,Arbitrum,$18.53m,18530000,3.87,3.87,3.48,,,3.87,,3.48,73044.8222505071,,659841024.22,0,"{""XAUt0"":1.37,""weETH"":35.39,""Unknown"":0,""wstETH"":63.23}"
125,USDC / TermMax USDC Vault,TermMax,Base,$1.25m,1250000,3.8,3.8,2.35,,,3.8,,2.35,,,,,
126,HFUSDC,Morpho Blue,Base,"$882,033",882033,3.75,3.75,0.7,,,3.75,,0.7,882005.9128770266,,11116298.05,7.35,"{""Unknown"":6.13,""cbBTC"":56.23,""WETH"":37.64}"
127,USDC,Kamino Lend,Solana,$8.01m,8010000,3.71,3.71,4.14,,,3.71,,4.14,161680000,153670000,8000000,,
128,USDG,Loopscale,Solana,$1.3m,1300000,3.67,3.67,2.74,,,3.67,,2.74,,,,,
129,SUSDS,Sky Lending,Arbitrum,$358.25m,358250000,3.65,3.65,3.7,,,3.65,,3.7,,,,,
130,GTUSDCC,Morpho Blue,Arbitrum,$3.47m,3470000,3.62,3.62,3.43,,,3.62,,3.43,1620031.6806737224,,6378239.46,0,"{""kHYPE"":23.18,""UBTC"":49.78,""WHYPE"":27.04}"
131,GTUSDCC,Morpho Blue,Base,$2.02m,2020000,3.6,3.6,4.12,,,3.6,,4.12,1620031.6806737224,,6378239.46,0,"{""kHYPE"":23.18,""UBTC"":49.78,""WHYPE"":27.04}"
132,SPARKUSDC,Morpho Blue,Base,$9.04m,9040000,3.58,3.58,4.11,,,3.58,,4.11,0,,,,
133,GTUSDT,Morpho Blue,Katana,$60.87m,60870000,3.57,1.78,1.79,2.03,,1.79,,2.03,9.99708112277674e-7,,39988.32,0,"{""WHYPE"":100}"
134,USDY / US Dollar Yield,Ondo Yield Assets,Solana,$180.44m,180440000,3.55,3.55,3.55,3.55,,3.55,,3.55,,,,,
