date,rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
2026-04-18,43,USDSUI,NAVI Lending,,$1.54m,1540000.0,8.03,0.05,,,,7.98,,9.02,,,,,
2026-04-18,44,USDC,Neverland,,$17.91m,17910000.0,8.0,3.76,,,,8.37,,81.3,,,,,
2026-04-18,45,SUSDAI / For buying PT-sUSDai-15OCT2026,Pendle,,$13.75m,13750000.0,7.86,7.86,,,,7.64,,47.0,,,,,
2026-04-18,46,AUGUSTUSDC,Morpho V1,,,,7.8,5.09,,,,7.3,,100.0,,,,,
2026-04-18,47,APXUSD / For LP | Maturity 18JUN2026,Pendle,,$3.11m,3110000.0,7.79,5.9,,,,9.32,,99.9,,,,,
2026-04-18,48,MIM-USDC / Mim,Beefy,,$2.43m,2430000.0,7.78,7.17,,,,7.17,,89.0,,,,,
2026-04-18,49,AUGUSTUSDCV2,Morpho V1,,,,7.75,5.09,,,,7.08,,99.3,,,,,
2026-04-18,50,SUSDAI / For buying PT-sUSDai-18JUN2026,Pendle,,$6.4m,6400000.0,7.62,7.62,,,,7.11,,60.5,,,,,
2026-04-18,51,SUSDAI / For LP | Maturity 15OCT2026,Pendle,,$13.75m,13750000.0,7.54,6.74,,,,7.57,,60.9,,,,,
2026-04-18,52,USDC-SUSD / stable - 0.05%,Velodrome V2,,$1.04m,1040000.0,7.49,7.49,,,,6.29,,99.8,,,,,
2026-04-18,53,FEUSDT0,Morpho V1,,,,7.44,7.44,,,,5.32,,61.4,,,,,
2026-04-18,54,AAVEUSDC-AAVEGHO,Aura,,$7.17m,7170000.0,7.42,2.43,,,,5.65,,100.0,,,,,
2026-04-18,55,SUSDAI / 30d unlock,USD AI,,$258.02m,258020000.0,7.2,7.2,,,,6.24,,86.8,,,,,
2026-04-18,56,USDC,Gearbox,,$3.88m,3880000.0,7.17,1.79,,,,7.53,,79.6,,,,,
2026-04-18,57,SUSDAI / For LP | Maturity 18JUN2026,Pendle,,$6.4m,6400000.0,7.11,6.7,,,,7.02,,79.9,,,,,
2026-04-18,58,WABASGHO-WABASUSDC / Aura,Beefy,,$1.63m,1630000.0,7.07,5.31,,,,5.31,,69.5,,,,,
2026-04-18,59,SYZUSD,Yuzu Money,,$22.61m,22610000.0,7.02,7.02,,,,7.32,,100.0,,,,,
2026-04-18,60,USDC / 40 Acres,Harvest Finance,,$2.02m,2020000.0,6.94,6.94,,,,6.05,,59.6,,,,,
2026-04-18,61,USDT,Symbiosis,,"$996,682",996682.0,6.89,6.89,,,,6.89,,6.83,,,,,
2026-04-18,62,USDAI / For buying PT-USDai-15OCT2026,Pendle,,"$903,604",903604.0,6.87,6.87,,,,6.08,,89.6,,,,,
2026-04-18,63,AUSD / earnAUSD/AUSD,Curvance,,$2.19m,2190000.0,6.73,6.73,,,,6.63,,59.1,,,,,
2026-04-18,64,FEUSDH,Morpho V1,,,,6.53,6.53,,,,5.06,,59.7,,,,,
2026-04-18,65,XUSD,Sovryn Dex,,"$728,066",728066.0,6.48,6.48,,,,6.48,,6.54,,,,,
2026-04-18,66,HYPERUSDCA,Morpho V1,,,,6.47,4.18,,,,6.78,,100.0,,,,,
2026-04-18,67,DTUSDC,Lagoon,,"$675,972",675972.0,6.46,6.46,,,,5.58,,87.9,,,,,
2026-04-18,68,HYPERUSDCA,Morpho V1,,,,6.44,3.77,,,,6.7,,92.3,,,,,
2026-04-18,69,USDC / Dolomite Balance,Dolomite,,"$749,600",749600.0,6.41,6.41,,,,6.41,,4.0,,,,,
2026-04-18,70,EDGEUSDC,Morpho V1,,,,6.29,3.98,,,,4.92,,90.8,,,,,
2026-04-18,71,AAVEGHO-USDT-USDC,Aura,,$7.59m,7590000.0,6.23,1.35,,,,7.26,,100.0,,,,,
2026-04-18,72,BBQUSDT0,Morpho V1,,,,6.17,2.04,,,,6.08,,100.0,,,,,
2026-04-18,73,USDC / MainMarket,Current,,$2.76m,2760000.0,6.15,0.96,,,,5.2,,6.1,,,,,
2026-04-18,74,BBQUSDT0,Morpho V1,,,,6.13,1.83,,,,6.03,,99.0,,,,,
2026-04-18,75,GHO,Fluid Lending,,$3.53m,3530000.0,6.0,3.05,,,,6.29,,64.2,,,,,
2026-04-18,76,AUSD / syzUSD/AUSD,Curvance,,"$629,915",629915.0,5.98,5.98,,,,5.95,,90.0,,,,,
2026-04-18,77,WAARBUSDCN-WAARBUSDT-WAARBGHO / Aura,Beefy,,$3.77m,3770000.0,5.87,6.9,,,,6.9,,70.4,,,,,
2026-04-18,78,USDC-ALUSD / stable - 0.05%,Velodrome V2,,$1.66m,1660000.0,5.71,5.71,,,,5.69,,100.0,,,,,
2026-04-18,79,USDC,Extra Finance Leverage Farming,,$4.04m,4040000.0,5.64,5.64,,,,5.07,,100.0,,,,,
2026-04-18,80,USDC,Gains Network,,$8.63m,8630000.0,5.59,5.59,,,,6.34,,60.9,,,,,
2026-04-18,81,AUSD / vUSD/AUSD,Curvance,,"$558,213",558213.0,5.55,5.55,,,,5.42,,100.0,,,,,
2026-04-18,82,DLLR,Sovryn Dex,,"$544,290",544290.0,5.53,5.53,,,,5.53,,5.28,,,,,
2026-04-18,83,USDC-SCRVUSD / Curve,Stake DAO,,"$655,178",655178.0,5.46,2.09,,,,5.45,,98.6,,,,,
2026-04-18,84,USDC,Liqwid,,"$631,942",631942.0,5.45,5.45,,,,5.45,,3.74,,,,,
